Asteroid ID,Asteroid Name,Asteroid Classification,Epoch,Image Filter,Wavelength (µm),Flux (mJy),Flux Error (%)
2015 MY63,-,Main-belt Asteroid,2022-08-10 01:28:50.117,F1130W,11.3,0.337,5.0
2016 CJ6,-,Main-belt Asteroid,2024-02-26 10:12:17.242,F770W,7.7,0.065,5.0
2016 CJ6,-,Main-belt Asteroid,2024-02-26 10:15:24.185,F770W,7.7,0.0624,5.0
2016 CJ6,-,Main-belt Asteroid,2024-02-26 10:18:33.689,F770W,7.7,0.0674,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:54:54.612,F1130W,11.3,0.3888,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:57:35.572,F1130W,11.3,0.396,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:46:47.608,F1000W,10.0,0.2548,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:35:20.764,F770W,7.7,0.0643,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 15:00:13.779,F1130W,11.3,0.4001,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 15:04:47.080,F2100W,21.0,0.9425,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 15:07:30.856,F2100W,21.0,0.9263,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 15:10:11.816,F2100W,21.0,0.9363,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 15:12:55.528,F2100W,21.0,0.956,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:52:13.652,F1130W,11.3,0.3858,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:48:38.584,F1000W,10.0,0.2565,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:43:00.024,F1000W,10.0,0.2533,5.0
2016 GT196,-,Main-belt Asteroid,2023-01-31 14:44:53.816,F1000W,10.0,0.2545,5.0
2016 PS142,-,Outer Main-belt Asteroid,2025-04-17 15:18:18.820,F2100W,21.0,0.5887,5.0
2016 PS142,-,Outer Main-belt Asteroid,2025-04-17 15:24:55.683,F2100W,21.0,0.582,5.0
2016 PS142,-,Outer Main-belt Asteroid,2025-04-17 15:04:56.836,F2100W,21.0,0.4922,5.0
2016 PS142,-,Outer Main-belt Asteroid,2025-04-17 15:11:41.956,F2100W,21.0,0.5198,5.0
2016 WY66,-,Main-belt Asteroid,2023-08-25 01:19:09.135,F1130W,11.3,0.0742,5.4
2017 QD83,-,Main-belt Asteroid,2024-12-21 22:48:49.953,F1000W,10.0,0.189,5.0
2017 QD83,-,Main-belt Asteroid,2024-12-21 22:15:15.171,F2100W,21.0,0.7289,5.0
2017 QD83,-,Main-belt Asteroid,2024-12-21 22:08:30.051,F2100W,21.0,0.7298,5.0
2017 QD83,-,Main-belt Asteroid,2024-12-21 22:01:47.620,F2100W,21.0,0.7274,5.0
2017 QD83,-,Main-belt Asteroid,2024-12-21 21:54:56.932,F2100W,21.0,0.7308,5.0
2018 AK52,-,Main-belt Asteroid,2023-04-14 07:38:34.600,F770W,7.7,0.2441,5.0
2018 AK52,-,Main-belt Asteroid,2023-04-14 08:07:31.814,F770W,7.7,0.2267,5.0
2018 AK52,-,Main-belt Asteroid,2023-04-14 07:52:10.471,F770W,7.7,0.1629,5.0
2018 AK52,-,Main-belt Asteroid,2023-04-14 07:17:32.025,F770W,7.7,0.205,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 14:42:45.253,F2100W,21.0,1.6414,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 14:46:46.725,F2100W,21.0,1.597,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 14:54:06.559,F2550W,25.5,1.5709,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 15:33:30.974,F1500W,15.0,1.2797,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 15:44:18.946,F2100W,21.0,1.6804,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 15:51:47.099,F2550W,25.5,1.6307,5.0
2018 HP10,-,Main-belt Asteroid,2022-05-31 14:33:03.906,F1500W,15.0,1.3376,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 16:46:04.692,F1280W,12.8,0.2591,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:53:25.264,F1280W,12.8,0.2623,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:46:42.896,F1280W,12.8,0.2411,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:39:57.712,F1280W,12.8,0.2943,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 16:52:52.691,F1280W,12.8,0.319,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:33:15.345,F1280W,12.8,0.2666,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:02:57.619,F1280W,12.8,0.3115,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:16:25.170,F1280W,12.8,0.3193,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 16:39:25.076,F1280W,12.8,0.3283,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:23:10.353,F1280W,12.8,0.2616,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 17:09:42.802,F1280W,12.8,0.3596,5.0
2019 QB44,-,Jupiter Trojan,2023-02-20 16:32:42.708,F1280W,12.8,0.3321,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 01:37:24.455,F770W,7.7,0.0101,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 01:54:39.590,F770W,7.7,0.013,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 02:15:39.493,F770W,7.7,0.011,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 02:32:49.060,F770W,7.7,0.0075,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 02:53:48.963,F770W,7.7,0.012,5.0
2020 SA57,-,Main-belt Asteroid,2023-03-31 03:11:01.282,F770W,7.7,0.0121,5.0
2022 QF262,-,Main-belt Asteroid,2024-05-22 07:54:28.703,F2100W,21.0,0.1634,5.0
2022 QF262,-,Main-belt Asteroid,2024-05-22 07:51:42.176,F2100W,21.0,0.1575,5.0
2022 QF262,-,Main-belt Asteroid,2024-05-22 07:48:52.896,F2100W,21.0,0.1674,5.0
2022 QF262,-,Main-belt Asteroid,2024-05-22 07:46:03.616,F2100W,21.0,0.166,5.0
2022 QF262,-,Main-belt Asteroid,2024-05-22 07:36:49.993,F770W,7.7,0.0137,5.3
2022 WJ22,-,Main-belt Asteroid,2023-02-13 17:39:46.565,F770W,7.7,0.587,5.0
2022 WJ22,-,Main-belt Asteroid,2023-02-13 17:10:21.639,F770W,7.7,0.5323,5.0
2022 WJ22,-,Main-belt Asteroid,2023-02-13 18:12:53.571,F770W,7.7,0.5704,5.0
2023 RK160,-,Main-belt Asteroid,2023-11-04 22:14:02.952,F2100W,21.0,1.0088,5.0
2023 RK160,-,Main-belt Asteroid,2023-11-04 22:11:16.424,F2100W,21.0,1.0121,5.0
2023 RK160,-,Main-belt Asteroid,2023-11-04 22:05:40.680,F2100W,21.0,1.0024,5.0
2023 RK160,-,Main-belt Asteroid,2023-11-04 22:08:27.144,F2100W,21.0,1.0109,5.0
