Proposal,Observation,Data Type,Intent,Instrument,Filter,Moving,Polygon Boundary,Exposure Start,Exposure End,Level 2 Members,Asteroids,Datalabs
1023,jw01023-o009_t007_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 236.57753666300007 30.80137776600003 236.5684785259999 30.766153236999983 236.52721147999998 30.773978298000014 236.536255234 30.80920569299998,2022-05-13 10:44:24.555,2022-05-13 10:52:57.976,"jw01023009001_02101_00001_mirimage, jw01023009001_02101_00002_mirimage, jw01023009001_02101_00003_mirimage, jw01023009001_02101_00004_mirimage",,True
1023,jw01023-o011_t005_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 84.10185063799979 -72.49125091600027 84.13767903900009 -72.5256725929998 84.02223662899993 -72.53648898200001 83.98660686499983 -72.50204669100002,2022-05-23 16:27:23.339,2022-05-23 16:35:45.624,"jw01023011001_02101_00001_mirimage, jw01023011001_02101_00002_mirimage, jw01023011001_02101_00003_mirimage, jw01023011001_02101_00004_mirimage",,True
1023,jw01023-o013_t002_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 269.862517932 66.6449141849998 269.8149047230001 66.61417692899973 269.73689863800007 66.63315195900003 269.7844513940002 66.6639128059999,2022-05-24 09:13:42.992,2022-05-24 09:22:13.597,"jw01023013001_02101_00001_mirimage, jw01023013001_02101_00002_mirimage, jw01023013001_02101_00003_mirimage, jw01023013001_02101_00004_mirimage",,True
1023,jw01023-o014_t001_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 269.6822210000003 66.64094224000027 269.640990442 66.61412887699984 269.57273924199984 66.63061622900011 269.6139232770001 66.65744746899996,2022-05-24 09:34:12.379,2022-05-24 09:45:46.139,jw01023014001_02101_00001_mirimage,,True
1023,jw01023-o015_t002_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 269.8555510109999 66.64957773900012 269.81413772100007 66.62280520999988 269.74596623400004 66.6393599559998 269.7873334169998 66.66615041399996,2022-05-24 09:57:36.574,2022-05-24 10:00:06.426,jw01023015001_02101_00001_mirimage,,True
1023,jw01023-o017_t002_miri_f560w,image,science,MIRI/IMAGE,F560W,No,Polygon 269.84221687300015 66.66944793300011 269.8005060000002 66.64246113200015 269.7310215670003 66.65929357400009 269.7726849289997 66.68629876899992,2022-05-24 10:27:04.366,2022-05-24 11:28:37.973,"jw01023017001_02101_00001_mirimage, jw01023017001_02101_00002_mirimage",,True
1023,jw01023-o018_t006_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 262.6043131959998 52.45554772299998 262.5865709799998 52.42606242399998 262.537742406 52.43696706799999 262.55545631500013 52.46645966899998,2022-05-29 17:14:19.542,2022-05-29 17:15:15.043,jw01023018001_02101_00001_mirimage,,True
1023,jw01023-o020_t002_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 269.8590841330001 66.65366313699987 269.82871452899997 66.61964626900024 269.742432579 66.63172955200022 269.772698279 66.66576304700015,2022-06-05 22:49:43.372,2022-06-05 22:58:02.904,"jw01023020001_02101_00001_mirimage, jw01023020001_02101_00002_mirimage, jw01023020001_02101_00003_mirimage, jw01023020001_02101_00004_mirimage",,True
1023,jw01023-o022_t009_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.31416978500022 -62.58329459400012 83.31508994299973 -62.61937050199974 83.23615951000001 -62.61977462500015 83.23533516699976 -62.583698225999754,2022-06-09 09:45:23.228,2022-06-09 09:53:51.081,"jw01023022001_02101_00001_mirimage, jw01023022001_02101_00002_mirimage, jw01023022001_02101_00003_mirimage, jw01023022001_02101_00004_mirimage",,True
1023,jw01023-o023_t008_miri_f560w,image,calibration,MIRI/IMAGE,F560W,No,Polygon 83.42936609999997 -62.473480723000144 83.43025509499974 -62.505773915000205 83.35994938300026 -62.506169193000176 83.3591364239999 -62.47387557300005,2022-06-09 10:08:55.733,2022-06-09 10:26:55.271,"jw01023023001_02101_00001_mirimage, jw01023023001_02101_00002_mirimage",,True
