Proposal,Observation,Filter,Moving,Image Intent,Polygon,Exp Start,Exp End,Asteroids,JPL Classification,S/N,JPL Phase Angle (Deg),JPL Sun-Asteroid Dist (AU),JPL Asteroid-JWST Dist (AU),JPL Diameter (km),JPL Geo Albedo,JPL Pos Uncertainty (Arcsec)
1051,jw01051006001_03103_00001_mirimage,F1130W,No,calibration,Polygon 182.3369152490002 4.010182481999998 182.364732336 3.995639378000001 182.35033590000015 3.967701403999999 182.32243194400027 3.981963054000002,2022-05-27 04:20:24.305,2022-05-27 04:26:00.085,['2010 SE55'],['Main-Belt Asteroid'],['7.699'],['23.2274'],['2.35728547'],['1.74021942'],['NA'],['NA'],[0.293]
1051,jw01051006001_03103_00002_mirimage,F1130W,No,calibration,Polygon 182.33582967000024 4.007275150999998 182.36364671700014 3.992732158999998 182.34925044699992 3.964794127 182.3213465309999 3.979055664,2022-05-27 04:27:23.377,2022-05-27 04:32:59.157,['2010 SE55'],['Main-Belt Asteroid'],['7.209'],['23.2282'],['2.35729080'],['1.74027850'],['NA'],['NA'],[0.293]
1051,jw01051006001_03103_00003_mirimage,F1130W,No,calibration,Polygon 182.34008940299992 4.010643585999997 182.3679065030001 3.9961004779999985 182.35351005699985 3.9681625059999983 182.3256060859999 3.982424160000002,2022-05-27 04:34:25.200,2022-05-27 04:40:00.980,['2010 SE55'],['Main-Belt Asteroid'],['7.951'],['23.2290'],['2.35729617'],['1.74033797'],['NA'],['NA'],[0.293]
1051,jw01051006001_03105_00001_mirimage,F1280W,No,calibration,Polygon 182.33690868199977 4.010177969000001 182.3647258540001 3.9956349879999986 182.35032935599992 3.9676970120000026 182.32242557800026 3.9819585360000027,2022-05-27 04:42:47.457,2022-05-27 04:44:10.708,['2010 SE55'],['Main-Belt Asteroid'],['21.157'],['23.2297'],['2.35730103'],['1.74039187'],['NA'],['NA'],[0.293]
1051,jw01051006001_03105_00002_mirimage,F1280W,No,calibration,Polygon 182.335823685 4.007270241999997 182.36364077799982 3.992727298 182.3492443680002 3.9647893030000003 182.32134066899994 3.9790507900000023,2022-05-27 04:45:36.737,2022-05-27 04:46:59.988,['2010 SE55'],['Main-Belt Asteroid'],['21.876'],['23.2300'],['2.35730319'],['1.74041573'],['NA'],['NA'],[0.293]
1051,jw01051006001_03105_00003_mirimage,F1280W,No,calibration,Polygon 182.3400834899998 4.010638695999998 182.36790062799972 3.996095621000002 182.35350402600028 3.968157693000003 182.32560028100008 3.9824193119999984,2022-05-27 04:48:28.833,2022-05-27 04:49:52.084,['2010 SE55'],['Main-Belt Asteroid'],['22.005'],['23.2303'],['2.35730537'],['1.74044000'],['NA'],['NA'],[0.293]
1051,jw01051007001_02101_00001_mirimage,F770W,No,calibration,Polygon 182.34906299100004 4.007503114000003 182.37688006500002 3.992959000000002 182.36248305299995 3.9650216050000022 182.33457908599982 3.979283895999999,2022-05-27 05:32:47.344,2022-05-27 05:34:16.145,['2010 SE55'],['Main-Belt Asteroid'],['42.864'],['23.2353'],['2.35733920'],['1.74081487'],['NA'],['NA'],[0.293]
1051,jw01051007001_02101_00002_mirimage,F770W,No,calibration,Polygon 182.34386800699997 4.006634608999998 182.3716851580003 3.9920906990000002 182.35728836599998 3.964153198 182.32938432399968 3.9784152850000014,2022-05-27 05:35:42.192,2022-05-27 05:37:10.993,['2010 SE55'],['Main-Belt Asteroid'],['28.902'],['23.2357'],['2.35734142'],['1.74083952'],['NA'],['NA'],[0.293]
1051,jw01051007001_02101_00003_mirimage,F770W,No,calibration,Polygon 182.34500337100005 4.002326435999999 182.37282035600015 3.9877824860000013 182.35842359999995 3.9598450059999992 182.33051972399983 3.9741071330000004,2022-05-27 05:38:34.224,2022-05-27 05:40:03.025,['2010 SE55'],['Main-Belt Asteroid'],['34.029'],['23.2360'],['2.35734361'],['1.74086378'],['NA'],['NA'],[0.293]
1051,jw01051007001_02103_00001_mirimage,F1130W,No,calibration,Polygon 182.34904902999986 4.007515379999999 182.37686571900025 3.992971691999998 182.3624687410001 3.965034021000001 182.33456517700017 3.979296257000003,2022-05-27 05:43:58.956,2022-05-27 05:49:34.736,['2010 SE55'],['Main-Belt Asteroid'],['7.601'],['23.2368'],['2.35734927'],['1.74092650'],['NA'],['NA'],[0.293]
1051,jw01051007001_02103_00002_mirimage,F1130W,No,calibration,Polygon 182.34385435599975 4.006646956000001 182.3716711090001 3.992103446000003 182.3572743259998 3.964165684 182.3293707000001 3.978427741,2022-05-27 05:50:57.964,2022-05-27 05:56:33.744,['2010 SE55'],['Main-Belt Asteroid'],['7.864'],['23.2376'],['2.35735460'],['1.74098559'],['NA'],['NA'],[0.293]
1051,jw01051007001_02103_00003_mirimage,F1130W,No,calibration,Polygon 182.34498993499994 4.002338212999999 182.37280648699982 3.987794598000001 182.35840967499985 3.959856889999999 182.33050624799986 3.974119051999998,2022-05-27 05:57:59.787,2022-05-27 06:03:35.567,['2010 SE55'],['Main-Belt Asteroid'],['7.870'],['23.2384'],['2.35735996'],['1.74104509'],['NA'],['NA'],[0.293]
1051,jw01051007001_02105_00001_mirimage,F1280W,No,calibration,Polygon 182.34904308200012 4.007510488 182.37685980799984 3.992966833000002 182.36246267500024 3.9650292070000006 182.33455933600024 3.9792914079999986,2022-05-27 06:06:27.612,2022-05-27 06:07:50.863,['2010 SE55'],['Main-Belt Asteroid'],['22.125'],['23.2391'],['2.35736490'],['1.74109978'],['NA'],['NA'],[0.293]
1051,jw01051007001_02105_00002_mirimage,F1280W,No,calibration,Polygon 182.3438482100001 4.006641803999999 182.37166499599994 3.99209832 182.35726805099986 3.9641606060000014 182.3293646539999 3.9784226350000003,2022-05-27 06:09:19.708,2022-05-27 06:10:42.959,['2010 SE55'],['Main-Belt Asteroid'],['22.328'],['23.2395'],['2.35736709'],['1.74112406'],['NA'],['NA'],[0.293]
1051,jw01051007001_02105_00003_mirimage,F1280W,No,calibration,Polygon 182.34498350400017 4.002333540999997 182.37280012399984 3.9877900189999984 182.35840321600023 3.9598523240000016 182.3304999840001 3.974114392,2022-05-27 06:12:06.172,2022-05-27 06:13:29.423,['2010 SE55'],['Main-Belt Asteroid'],['24.673'],['23.2398'],['2.35736920'],['1.74114754'],['NA'],['NA'],[0.293]
1051,jw01051008001_02101_00001_mirimage,F770W,No,calibration,Polygon 182.3413350680001 4.000193847 182.36915215799988 3.9856502389999995 182.35475578500018 3.9577125830000024 182.326851806 3.971974368,2022-05-27 06:54:11.563,2022-05-27 06:55:40.364,['2010 SE55'],['Main-Belt Asteroid'],['34.693'],['23.2445'],['2.35740133'],['1.74150376'],['NA'],['NA'],[0.293]
1051,jw01051008001_02101_00002_mirimage,F770W,No,calibration,Polygon 182.33606700800024 3.9985241590000022 182.36388410600026 3.983980673999997 182.34948788599976 3.956042954000001 182.32158389999978 3.9703046159999977,2022-05-27 06:57:09.163,2022-05-27 06:58:37.964,['2010 SE55'],['Main-Belt Asteroid'],['38.148'],['23.2448'],['2.35740358'],['1.74152881'],['NA'],['NA'],[0.293]
1051,jw01051008001_02101_00003_mirimage,F770W,No,calibration,Polygon 182.34201913400003 3.9958596369999984 182.3698360389998 3.981315958000002 182.35543966900008 3.953378338000003 182.32753587400015 3.9676401959999974,2022-05-27 07:00:01.195,2022-05-27 07:01:29.996,['2010 SE55'],['Main-Belt Asteroid'],['33.242'],['23.2452'],['2.35740577'],['1.74155308'],['NA'],['NA'],[0.293]
