Asteroid,Common Name,Frequency,Classification,Radius (km),Geo_Albedo,Visual Mag,Surface Bright (mag/arcsec2),Average S/N,Filter_Count,Filters,Proposals,Moving Target,Earliest Observation,Latest Observation,Observation Time Difference
2002 GG166,-,3,TransNeptunian Object,-,-,20.544,-,55.44,1,F1130W,2820,Moving,2023-09-11 23:50:07,2023-09-12 00:30:44,0:40:36
1997 CU26,10199 Chariklo,3,Centaur,151.,.045,19.087,10.831,378.28,1,F1130W,2820,Moving,2023-09-22 17:12:24,2023-09-22 17:53:48,0:41:24
2006 DZ86,-,3,Main-belt Asteroid,-,-,22.179,-,32.65,1,F560W,1249,Moving,2023-06-22 05:23:18,2023-06-22 05:36:01,0:12:43
2022 WJ22,-,3,Main-belt Asteroid,-,-,22.954,-,6607.71,1,F770W,1751,Non-moving,2023-02-13 17:10:06,2023-02-13 18:13:08,1:03:02
2012 VG116,-,2,Main-belt Asteroid,-,-,21.88,-,36.55,1,F560W,1764,Non-moving,2023-01-29 07:13:49,2023-01-29 07:17:50,0:04:01
2014 DZ80,-,2,Main-belt Asteroid,-,-,21.949,-,2433.74,1,F770W,1727,Non-moving,2023-04-09 17:16:30,2023-04-09 17:55:16,0:38:45
2003 QP78,-,2,Main-belt Asteroid,1.1775,.046,20.79,6.964,875.11,1,F560W,2046,Non-moving,2023-05-04 18:19:40,2023-05-04 18:23:28,0:03:47
2016 WY66,-,1,Main-belt Asteroid,-,-,23.948,-,18.49,1,F1130W,2459,Non-moving,2023-08-25 01:19:02,2023-08-25 01:19:16,0:00:13
2011 RK8,-,1,Main-belt Asteroid,-,-,22.478,-,95.37,1,F2100W,2107,Non-moving,2022-07-17 14:47:45,2022-07-17 14:49:06,0:01:20
2011 BN173,-,1,Main-belt Asteroid,-,-,23.883,-,201.04,1,F2100W,2046,Non-moving,2023-03-07 16:20:26,2023-03-07 16:23:10,0:02:43
2007 XR66,-,1,Main-belt Asteroid,-,-,22.01,-,159.31,1,F770W,1727,Non-moving,2023-04-15 07:11:38,2023-04-15 07:15:50,0:04:12
2012 SJ16,-,1,Main-belt Asteroid,-,-,22.195,-,40.24,1,F560W,1714,Non-moving,2023-02-24 11:06:36,2023-02-24 11:08:55,0:02:18
